year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4496,1.0,4.0,2.0,2.0,,2.0,,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,22.2,89.0,44.5,44.5,,44.5,,22.2,,44.5,22.2,22.2,22.2,66.7,22.2
1993,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2567,,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,,77.9,,77.9,,,77.9,,,,,77.9,77.9,,
1993,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2664,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,37.5,37.5,,37.5,,37.5,,,,,,37.5,37.5,,
1993,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,42702,6.0,29.0,2.0,27.0,3.0,10.0,12.0,,4.0,8.0,12.0,9.0,4.0,25.0,4.0,14.1,67.9,4.7,63.2,7.0,23.4,28.1,,9.4,18.7,28.1,21.1,9.4,58.5,9.4
1993,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,12526,4.0,15.0,1.0,14.0,,4.0,8.0,1.0,2.0,11.0,,4.0,1.0,14.0,8.0,31.9,119.8,8.0,111.8,,31.9,63.9,8.0,16.0,87.8,,31.9,8.0,111.8,63.9
1993,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5562,,2.0,1.0,1.0,,2.0,,,,,2.0,,1.0,1.0,1.0,,36.0,18.0,18.0,,36.0,,,,,36.0,,18.0,18.0,18.0
1993,48,95.0,Knox,9,Central,Mostly Urban,24.3,6144,2.0,3.0,,3.0,,,3.0,,,1.0,,2.0,1.0,2.0,,32.6,48.8,,48.8,,,48.8,,,16.3,,32.6,16.3,32.6,
1993,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,64835,11.0,28.0,1.0,27.0,2.0,5.0,18.0,,2.0,15.0,1.0,12.0,1.0,27.0,12.0,17.0,43.2,1.5,41.6,3.1,7.7,27.8,,3.1,23.1,1.5,18.5,1.5,41.6,18.5
1993,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,12622,4.0,8.0,1.0,7.0,,1.0,6.0,1.0,,3.0,,5.0,,8.0,,31.7,63.4,7.9,55.5,,7.9,47.5,7.9,,23.8,,39.6,,63.4,
1993,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,4172,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,24.0,,24.0,,,24.0,,,,,24.0,,24.0,
1993,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4527,,3.0,1.0,2.0,,2.0,,1.0,,,,3.0,,3.0,,,66.3,22.1,44.2,,44.2,,22.1,,,,66.3,,66.3,
1993,54,107.0,Logan,11,Central,Mostly Urban,39.9,3244,2.0,3.0,,3.0,,2.0,1.0,,,1.0,,2.0,,3.0,,61.7,92.5,,92.5,,61.7,30.8,,,30.8,,61.7,,92.5,
1993,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2907,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,34.4,34.4,,34.4,,,34.4,,,,,34.4,,34.4,
1993,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,26110,,4.0,,4.0,,,3.0,,1.0,,,4.0,,4.0,2.0,,15.3,,15.3,,,11.5,,3.8,,,15.3,,15.3,7.7
1993,57,113.0,McLean,11,Central,Mostly Urban,16.5,13603,7.0,9.0,3.0,6.0,,4.0,3.0,1.0,1.0,5.0,,4.0,,9.0,2.0,51.5,66.2,22.1,44.1,,29.4,22.1,7.4,7.4,36.8,,29.4,,66.2,14.7
1993,58,115.0,Macon,6,Central,Mostly Urban,15.3,13880,1.0,34.0,1.0,33.0,1.0,12.0,18.0,1.0,,20.0,1.0,13.0,6.0,28.0,5.0,7.2,245.0,7.2,237.8,7.2,86.5,129.7,7.2,,144.1,7.2,93.7,43.2,201.7,36.0
1993,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5831,,5.0,,5.0,,1.0,4.0,,,,,5.0,,5.0,2.0,,85.7,,85.7,,17.1,68.6,,,,,85.7,,85.7,34.3
1993,60,119.0,Madison,3,Southern,Mostly Urban,13.3,28762,1.0,11.0,,11.0,,2.0,6.0,1.0,2.0,7.0,,4.0,1.0,10.0,1.0,3.5,38.2,,38.2,,7.0,20.9,3.5,7.0,24.3,,13.9,3.5,34.8,3.5
1993,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4993,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,20.0,,20.0,,,20.0,,,20.0,,,,20.0,
1993,63,125.0,Mason,8,Central,Mostly Rural,77.5,1993,2.0,2.0,,2.0,,1.0,1.0,,,,,2.0,,2.0,,100.4,100.4,,100.4,,50.2,50.2,,,,,100.4,,100.4,
1993,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,2840,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,35.2,,35.2,,,35.2,,,,,35.2,,35.2,35.2
1993,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,3453,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,29.0,29.0,,29.0,,,29.0,,,,,29.0,,29.0,
1993,69,137.0,Morgan,7,Central,Mostly Urban,36.2,4107,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,24.3,,24.3,,,24.3,,,,,24.3,,24.3,
1993,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1680,,2.0,,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,,,119.0,,119.0,,59.5,59.5,,,,,119.0,59.5,59.5,
