year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,total_in_poverty,total_in_poverty_rate
2000,62,123.0,Marshall,10,Central,Completely Rural,100.0,13138,971.0,7390.8
2000,63,125.0,Mason,8,Central,Mostly Rural,77.5,16009,1727.0,10787.7
2000,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15127,2002.0,13234.6
2000,65,129.0,Menard,8,Central,Mostly Rural,75.7,12493,1079.0,8636.8
2000,66,131.0,Mercer,14,Central,Mostly Rural,77.8,16950,1381.0,8147.5
2000,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,27763,1123.0,4045.0
2000,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,30625,3691.0,12052.2
2000,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36617,3687.0,10069.1
2000,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14319,1130.0,7891.6
2000,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,51161,3566.0,6970.2
2000,72,143.0,Peoria,10,Central,Mostly Urban,14.6,183166,21830.0,11918.2
2000,73,145.0,Perry,20,Southern,Mostly Urban,43.6,23061,2749.0,11920.6
2000,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16371,965.0,5894.6
2000,75,149.0,Pike,8,Central,Mostly Rural,72.3,17335,2234.0,12887.2
2000,76,151.0,Pope,1,Southern,Completely Rural,100.0,4418,628.0,14214.6
2000,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7324,1531.0,20903.9
2000,78,155.0,Putnam,10,Central,Completely Rural,100.0,6075,401.0,6600.8
2000,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33897,3279.0,9673.4
2000,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16242,2007.0,12356.9
2000,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,149143,15081.0,10111.8
2000,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,256208,33470.0,13063.6
2000,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26631,4154.0,15598.4
2000,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189093,17821.0,9424.5
2000,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7189,680.0,9458.9
2000,86,171.0,Scott,7,Central,Completely Rural,100.0,5539,565.0,10200.4
2000,87,173.0,Shelby,4,Central,Mostly Rural,77.7,22831,2094.0,9171.7
2000,88,175.0,Stark,10,Central,Completely Rural,100.0,6320,534.0,8449.4
2000,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,48882,4508.0,9222.2
2000,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128494,8815.0,6860.2
2000,91,181.0,Union,1,Southern,Mostly Rural,65.9,18256,2565.0,14050.2
2000,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,83796,10565.0,12608.0
2000,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12903,1480.0,11470.2
2000,94,187.0,Warren,9,Central,Mostly Urban,45.5,18683,1897.0,10153.6
2000,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15163,1036.0,6832.4
2000,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17124,2015.0,11767.1
2000,97,193.0,White,2,Southern,Mostly Rural,62.0,15328,1923.0,12545.7
2000,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60631,4966.0,8190.5
2000,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,508038,27825.0,5477.0
2000,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,61265,8173.0,13340.4
2000,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,278989,27613.0,9897.5
2000,102,203.0,Woodford,11,Central,Mostly Rural,54.9,35484,1821.0,5131.9
2001,1,1.0,Adams,8,Central,Mostly Urban,32.6,68040,7225.0,10618.8
2001,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9443,2120.0,22450.5
2001,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17608,1725.0,9796.7
2001,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,43187,2945.0,6819.2
2001,5,9.0,Brown,8,Central,Mostly Urban,41.1,6935,650.0,9372.7
2001,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35163,2882.0,8196.1
2001,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5042,481.0,9539.9
2001,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16441,1573.0,9567.5
2001,9,17.0,Cass,8,Central,Mostly Rural,52.1,13670,1374.0,10051.2
2001,10,19.0,Champaign,6,Central,Mostly Urban,12.7,181346,20039.0,11050.1
2001,11,21.0,Christian,4,Central,Mostly Urban,43.5,35152,3230.0,9188.7
2001,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16873,1735.0,10282.7
2001,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14221,1637.0,11511.1
2001,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35630,2398.0,6730.3
2001,15,29.0,Coles,5,Central,Mostly Urban,24.3,52309,6214.0,11879.4
2001,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5376559,667981.0,12423.9
2001,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20299,2179.0,10734.5
2001,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11149,1107.0,9929.1
2001,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,90838,7123.0,7841.4
2001,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16726,1500.0,8968.1
2001,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19916,1597.0,8018.7
2001,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,914228,38941.0,4259.4
2001,23,45.0,Edgar,5,Central,Mostly Rural,51.8,19560,2209.0,11293.5
2001,24,47.0,Edwards,2,Southern,Completely Rural,100.0,6854,671.0,9789.9
2001,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,34358,2782.0,8097.1
2001,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21512,2747.0,12769.6
2001,27,53.0,Ford,11,Central,Mostly Urban,41.8,14143,1131.0,7996.9
2001,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,38784,5767.0,14869.5
2001,29,57.0,Fulton,9,Central,Mostly Rural,60.0,37847,3869.0,10222.7
2001,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6306,932.0,14779.6
2001,31,61.0,Greene,7,Central,Mostly Rural,70.8,14592,1738.0,11910.6
2001,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,38195,2022.0,5293.9
2001,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8492,1007.0,11858.2
2001,34,67.0,Hancock,9,Central,Mostly Rural,71.0,19938,1843.0,9243.7
2001,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4762,754.0,15833.7
2001,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8181,820.0,10023.2
2001,37,73.0,Henry,14,Central,Mostly Rural,50.3,50561,4049.0,8008.1
2001,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,30938,2797.0,9040.7
2001,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,59354,10176.0,17144.6
2001,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10037,981.0,9773.8
2001,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,40008,5309.0,13269.8
2001,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21708,1912.0,8807.8
2001,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22391,1756.0,7842.4
2001,44,87.0,Johnson,1,Southern,Completely Rural,100.0,13020,1503.0,11543.8
2001,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,423822,27976.0,6600.9
2001,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,104816,11017.0,10510.8
2001,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,58093,2165.0,3726.8
2001,48,95.0,Knox,9,Central,Mostly Urban,24.3,55166,6053.0,10972.3
2001,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,660454,38033.0,5758.6
2001,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,111976,9988.0,8919.8
2001,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,15271,1844.0,12075.2
2001,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35913,2852.0,7941.4
2001,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39634,3180.0,8023.4
2001,54,107.0,Logan,11,Central,Mostly Urban,39.9,30880,2898.0,9384.7
2001,55,109.0,McDonough,9,Central,Mostly Urban,29.5,32800,4587.0,13984.8
2001,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,269976,9467.0,3506.6
2001,57,113.0,McLean,11,Central,Mostly Urban,16.5,152622,11492.0,7529.7
2001,58,115.0,Macon,6,Central,Mostly Urban,15.3,113307,13334.0,11768.0
2001,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48829,4727.0,9680.7
2001,60,119.0,Madison,3,Southern,Mostly Urban,13.3,260460,23915.0,9181.8
2001,61,121.0,Marion,4,Southern,Mostly Urban,45.1,41365,5442.0,13156.0
2001,62,123.0,Marshall,10,Central,Completely Rural,100.0,12920,951.0,7360.7
2001,63,125.0,Mason,8,Central,Mostly Rural,77.5,15966,1690.0,10585.0
2001,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15022,1974.0,13140.7
2001,65,129.0,Menard,8,Central,Mostly Rural,75.7,12482,1002.0,8027.6
2001,66,131.0,Mercer,14,Central,Mostly Rural,77.8,16898,1365.0,8077.9
2001,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,28373,1152.0,4060.2
2001,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,30454,3468.0,11387.7
2001,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36293,3645.0,10043.3
2001,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14274,1184.0,8294.8
2001,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,51620,3716.0,7198.8
2001,72,143.0,Peoria,10,Central,Mostly Urban,14.6,182235,21274.0,11673.9
2001,73,145.0,Perry,20,Southern,Mostly Urban,43.6,23019,2676.0,11625.2
2001,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16324,922.0,5648.1
2001,75,149.0,Pike,8,Central,Mostly Rural,72.3,17166,2168.0,12629.6
2001,76,151.0,Pope,1,Southern,Completely Rural,100.0,4331,607.0,14015.2
2001,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7181,1445.0,20122.5
2001,78,155.0,Putnam,10,Central,Completely Rural,100.0,6062,405.0,6681.0
2001,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,34005,3299.0,9701.5
2001,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16072,1917.0,11927.6
2001,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,148641,15058.0,10130.4
2001,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,255922,31550.0,12328.0
2001,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26370,4034.0,15297.7
2001,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,190303,17461.0,9175.4
2001,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7031,636.0,9045.7
2001,86,171.0,Scott,7,Central,Completely Rural,100.0,5511,513.0,9308.7
2001,87,173.0,Shelby,4,Central,Mostly Rural,77.7,22613,2056.0,9092.1
2001,88,175.0,Stark,10,Central,Completely Rural,100.0,6302,549.0,8711.5
2001,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,48443,4534.0,9359.5
2001,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128132,8667.0,6764.1
2001,91,181.0,Union,1,Southern,Mostly Rural,65.9,18121,2395.0,13216.7
2001,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,83447,10372.0,12429.4
2001,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12758,1394.0,10926.5
2001,94,187.0,Warren,9,Central,Mostly Urban,45.5,18446,1921.0,10414.2
2001,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15236,1069.0,7016.3
2001,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17026,2061.0,12105.0
2001,97,193.0,White,2,Southern,Mostly Rural,62.0,15264,1856.0,12159.3
2001,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60557,5100.0,8421.8
2001,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,531215,30497.0,5741.0
2001,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,61736,8012.0,12977.8
2001,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,280805,28878.0,10284.0
2001,102,203.0,Woodford,11,Central,Mostly Rural,54.9,35557,1961.0,5515.1
2002,1,1.0,Adams,8,Central,Mostly Urban,32.6,67765,7743.0,11426.3
2002,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9398,2198.0,23388.0
2002,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17794,1867.0,10492.3
2002,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,44508,3340.0,7504.3
2002,5,9.0,Brown,8,Central,Mostly Urban,41.1,6831,746.0,10920.8
2002,6,11.0,Bureau,13,Central,Mostly Rural,57.4,34995,3005.0,8586.9
2002,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,4974,461.0,9268.2
2002,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16365,1614.0,9862.5
2002,9,17.0,Cass,8,Central,Mostly Rural,52.1,13531,1450.0,10716.1
2002,10,19.0,Champaign,6,Central,Mostly Urban,12.7,183102,22055.0,12045.2
2002,11,21.0,Christian,4,Central,Mostly Urban,43.5,35022,3476.0,9925.2
2002,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16904,1881.0,11127.5
2002,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14147,1741.0,12306.5
2002,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35719,2472.0,6920.7
2002,15,29.0,Coles,5,Central,Mostly Urban,24.3,52013,6634.0,12754.5
2002,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5355574,769079.0,14360.3
2002,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20086,2237.0,11137.1
2002,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11051,1102.0,9971.9
2002,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,92449,8005.0,8658.8
2002,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16546,1565.0,9458.5
2002,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19825,1698.0,8564.9
2002,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,918864,48728.0,5303.1
2002,23,45.0,Edgar,5,Central,Mostly Rural,51.8,19339,2333.0,12063.7
2002,24,47.0,Edwards,2,Southern,Completely Rural,100.0,6799,694.0,10207.4
2002,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,34309,3008.0,8767.4
2002,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21490,2832.0,13178.2
2002,27,53.0,Ford,11,Central,Mostly Urban,41.8,14087,1186.0,8419.1
2002,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,38842,5985.0,15408.6
2002,29,57.0,Fulton,9,Central,Mostly Rural,60.0,37488,4205.0,11216.9
2002,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6175,992.0,16064.8
2002,31,61.0,Greene,7,Central,Mostly Rural,70.8,14588,1847.0,12661.1
2002,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,38624,2213.0,5729.6
2002,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8370,1070.0,12783.8
2002,34,67.0,Hancock,9,Central,Mostly Rural,71.0,19590,1971.0,10061.3
2002,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4701,788.0,16762.4
2002,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8103,865.0,10675.1
2002,37,73.0,Henry,14,Central,Mostly Rural,50.3,50166,4171.0,8314.4
2002,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,30698,3028.0,9863.8
2002,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,58577,10937.0,18671.2
2002,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,9972,984.0,9867.6
2002,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,40028,5793.0,14472.4
2002,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21898,2021.0,9229.2
2002,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22305,1813.0,8128.2
2002,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12715,1607.0,12638.6
2002,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,440157,32278.0,7333.3
2002,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,105416,12078.0,11457.5
2002,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,61755,2583.0,4182.7
2002,48,95.0,Knox,9,Central,Mostly Urban,24.3,54650,6679.0,12221.4
2002,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,671443,43004.0,6404.7
2002,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,111504,10915.0,9788.9
2002,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,16042,1922.0,11981.0
2002,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35477,2974.0,8382.9
2002,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39111,3453.0,8828.7
2002,54,107.0,Logan,11,Central,Mostly Urban,39.9,30713,3034.0,9878.6
2002,55,109.0,McDonough,9,Central,Mostly Urban,29.5,32813,4927.0,15015.4
2002,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,278222,11998.0,4312.4
2002,57,113.0,McLean,11,Central,Mostly Urban,16.5,155630,12667.0,8139.2
2002,58,115.0,Macon,6,Central,Mostly Urban,15.3,111980,14677.0,13106.8
2002,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48769,4880.0,10006.4
2002,60,119.0,Madison,3,Southern,Mostly Urban,13.3,261346,26169.0,10013.2
2002,61,121.0,Marion,4,Southern,Mostly Urban,45.1,40893,6029.0,14743.4
2002,62,123.0,Marshall,10,Central,Completely Rural,100.0,12941,1020.0,7881.9
2002,63,125.0,Mason,8,Central,Mostly Rural,77.5,15851,1775.0,11198.0
2002,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15103,1938.0,12831.9
2002,65,129.0,Menard,8,Central,Mostly Rural,75.7,12473,994.0,7969.2
2002,66,131.0,Mercer,14,Central,Mostly Rural,77.8,16872,1382.0,8191.1
2002,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,29195,1201.0,4113.7
2002,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,30440,3586.0,11780.6
2002,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36064,3915.0,10855.7
2002,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14267,1237.0,8670.4
2002,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,52138,4152.0,7963.5
2002,72,143.0,Peoria,10,Central,Mostly Urban,14.6,182453,22897.0,12549.5
2002,73,145.0,Perry,20,Southern,Mostly Urban,43.6,22719,2799.0,12320.1
2002,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16162,1020.0,6311.1
2002,75,149.0,Pike,8,Central,Mostly Rural,72.3,16986,2193.0,12910.6
2002,76,151.0,Pope,1,Southern,Completely Rural,100.0,4292,626.0,14585.3
2002,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7083,1492.0,21064.5
2002,78,155.0,Putnam,10,Central,Completely Rural,100.0,6068,432.0,7119.3
2002,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33273,3502.0,10525.1
2002,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16155,1954.0,12095.3
2002,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,148140,16141.0,10895.8
2002,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,257123,34510.0,13421.6
2002,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26269,4257.0,16205.4
2002,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,191486,18969.0,9906.2
2002,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,6998,674.0,9631.3
2002,86,171.0,Scott,7,Central,Completely Rural,100.0,5452,558.0,10234.8
2002,87,173.0,Shelby,4,Central,Mostly Rural,77.7,22490,2203.0,9795.5
2002,88,175.0,Stark,10,Central,Completely Rural,100.0,6255,580.0,9272.6
2002,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,48034,4990.0,10388.5
2002,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128107,9569.0,7469.5
2002,91,181.0,Union,1,Southern,Mostly Rural,65.9,18108,2472.0,13651.4
2002,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,82909,11275.0,13599.2
2002,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12633,1419.0,11232.5
2002,94,187.0,Warren,9,Central,Mostly Urban,45.5,18327,2035.0,11103.8
2002,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15084,1185.0,7856.0
2002,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,16914,2103.0,12433.5
2002,97,193.0,White,2,Southern,Mostly Rural,62.0,15100,1954.0,12940.4
2002,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60092,5427.0,9031.2
2002,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,555566,36024.0,6484.2
2002,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,62089,8415.0,13553.1
2002,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,282572,33203.0,11750.3
2002,102,203.0,Woodford,11,Central,Mostly Rural,54.9,35698,2079.0,5823.9
2003,1,1.0,Adams,8,Central,Mostly Urban,32.6,67188,7222.0,10748.9
2003,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9038,1940.0,21464.9
2003,3,5.0,Bond,3,Southern,Mostly Rural,60.7,18062,1687.0,9340.1
2003,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,46089,3699.0,8025.8
2003,5,9.0,Brown,8,Central,Mostly Urban,41.1,6847,562.0,8208.0
2003,6,11.0,Bureau,13,Central,Mostly Rural,57.4,34958,2992.0,8558.8
2003,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5097,444.0,8711.0
2003,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16328,1573.0,9633.8
2003,9,17.0,Cass,8,Central,Mostly Rural,52.1,13642,1426.0,10453.0
2003,10,19.0,Champaign,6,Central,Mostly Urban,12.7,185280,21419.0,11560.3
2003,11,21.0,Christian,4,Central,Mostly Urban,43.5,34944,3543.0,10139.1
2003,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16819,1723.0,10244.4
2003,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14065,1627.0,11567.7
2003,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35839,2512.0,7009.1
2003,15,29.0,Coles,5,Central,Mostly Urban,24.3,52337,6341.0,12115.7
2003,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5330484,767945.0,14406.7
2003,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,19920,2182.0,10953.8
2003,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10912,1094.0,10025.7
2003,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,94804,8137.0,8583.0
2003,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16494,1615.0,9791.4
2003,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19729,1587.0,8044.0
2003,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,920457,53746.0,5839.1
2003,23,45.0,Edgar,5,Central,Mostly Rural,51.8,19124,2133.0,11153.5
2003,24,47.0,Edwards,2,Southern,Completely Rural,100.0,6792,615.0,9054.8
2003,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,34422,3040.0,8831.6
2003,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21086,2616.0,12406.3
2003,27,53.0,Ford,11,Central,Mostly Urban,41.8,14034,1121.0,7987.7
2003,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,38958,5770.0,14810.8
2003,29,57.0,Fulton,9,Central,Mostly Rural,60.0,37516,3973.0,10590.1
2003,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6148,975.0,15858.8
2003,31,61.0,Greene,7,Central,Mostly Rural,70.8,14339,1737.0,12113.8
2003,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,39414,2462.0,6246.5
2003,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8318,1011.0,12154.4
2003,34,67.0,Hancock,9,Central,Mostly Rural,71.0,19386,1878.0,9687.4
2003,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4737,682.0,14397.3
2003,36,71.0,Henderson,9,Central,Mostly Rural,99.7,7944,817.0,10284.5
2003,37,73.0,Henry,14,Central,Mostly Rural,50.3,50263,4187.0,8330.2
2003,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,30539,2963.0,9702.3
2003,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,58750,10325.0,17574.5
2003,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,9900,1005.0,10151.5
2003,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,40028,5221.0,13043.4
2003,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21938,1808.0,8241.4
2003,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22430,1694.0,7552.4
2003,44,87.0,Johnson,1,Southern,Completely Rural,100.0,13445,1356.0,10085.5
2003,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,453855,34646.0,7633.7
2003,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,106096,11722.0,11048.5
2003,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,66868,2992.0,4474.5
2003,48,95.0,Knox,9,Central,Mostly Urban,24.3,53939,6344.0,11761.4
2003,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,676086,46414.0,6865.1
2003,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110468,11164.0,10106.1
2003,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,16407,1849.0,11269.6
2003,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35096,2942.0,8382.7
2003,53,105.0,Livingston,11,Central,Mostly Urban,40.8,38572,3503.0,9081.7
2003,54,107.0,Logan,11,Central,Mostly Urban,39.9,30486,2788.0,9145.2
2003,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33001,4360.0,13211.7
2003,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,286909,13095.0,4564.2
2003,57,113.0,McLean,11,Central,Mostly Urban,16.5,157257,13813.0,8783.7
2003,58,115.0,Macon,6,Central,Mostly Urban,15.3,110656,14530.0,13130.8
2003,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48709,4946.0,10154.2
2003,60,119.0,Madison,3,Southern,Mostly Urban,13.3,263023,27617.0,10499.8
2003,61,121.0,Marion,4,Southern,Mostly Urban,45.1,40454,5374.0,13284.2
2003,62,123.0,Marshall,10,Central,Completely Rural,100.0,12905,1015.0,7865.2
2003,63,125.0,Mason,8,Central,Mostly Rural,77.5,15711,1733.0,11030.5
2003,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15043,1992.0,13242.0
2003,65,129.0,Menard,8,Central,Mostly Rural,75.7,12473,1066.0,8546.5
2003,66,131.0,Mercer,14,Central,Mostly Rural,77.8,16751,1452.0,8668.1
