year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1989,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,,6.0,,,2.0,3.0,1.0,3.0,,6.0,1.0,,,,,,,,,,
1989,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,,56.0,7.0,2.0,12.0,28.0,7.0,19.0,4.0,52.0,9.0,,,,,,,,,,
1989,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,,9.0,,,3.0,6.0,,3.0,,9.0,,,,,,,,,,,
1989,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,2.0,,,1.0,,1.0,2.0,,2.0,2.0,,,,,,,,,,
1989,44,87.0,Johnson,1,Southern,Completely Rural,100.0,,16.0,1.0,,1.0,12.0,2.0,3.0,1.0,15.0,2.0,,,,,,,,,,
1989,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,220.0,43.0,1.0,45.0,112.0,19.0,63.0,11.0,209.0,12.0,,,,,,,,,,
1989,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,58.0,6.0,1.0,21.0,29.0,1.0,22.0,8.0,50.0,12.0,,,,,,,,,,
1989,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,,3.0,2.0,,,1.0,,,,3.0,1.0,,,,,,,,,,
1989,48,95.0,Knox,9,Central,Mostly Urban,24.3,,41.0,2.0,3.0,13.0,17.0,6.0,19.0,1.0,40.0,3.0,,,,,,,,,,
1989,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,363.0,78.0,12.0,79.0,162.0,32.0,109.0,41.0,322.0,21.0,,,,,,,,,,
1989,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,75.0,13.0,3.0,14.0,30.0,15.0,29.0,4.0,71.0,7.0,,,,,,,,,,
1989,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,8.0,,,1.0,6.0,1.0,2.0,,8.0,2.0,,,,,,,,,,
1989,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,22.0,3.0,3.0,1.0,14.0,1.0,2.0,2.0,20.0,7.0,,,,,,,,,,
1989,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,27.0,9.0,3.0,1.0,12.0,2.0,3.0,2.0,25.0,1.0,,,,,,,,,,
1989,54,107.0,Logan,11,Central,Mostly Urban,39.9,,19.0,2.0,1.0,4.0,9.0,3.0,7.0,,19.0,,,,,,,,,,,
1989,55,109.0,McDonough,9,Central,Mostly Urban,29.5,,22.0,,2.0,6.0,8.0,6.0,12.0,4.0,18.0,3.0,,,,,,,,,,
1989,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,83.0,18.0,5.0,12.0,44.0,4.0,16.0,2.0,81.0,11.0,,,,,,,,,,
1989,57,113.0,McLean,11,Central,Mostly Urban,16.5,,148.0,24.0,3.0,37.0,69.0,15.0,52.0,12.0,136.0,16.0,,,,,,,,,,
1989,58,115.0,Macon,6,Central,Mostly Urban,15.3,,315.0,32.0,15.0,65.0,193.0,10.0,71.0,40.0,275.0,31.0,,,,,,,,,,
1989,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,20.0,1.0,,3.0,13.0,3.0,5.0,3.0,17.0,5.0,,,,,,,,,,
1989,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,185.0,13.0,1.0,45.0,109.0,17.0,61.0,12.0,173.0,25.0,,,,,,,,,,
1989,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,53.0,7.0,5.0,13.0,25.0,3.0,16.0,4.0,49.0,10.0,,,,,,,,,,
1989,62,123.0,Marshall,10,Central,Completely Rural,100.0,,5.0,,2.0,1.0,2.0,,1.0,,5.0,,,,,,,,,,,
1989,63,125.0,Mason,8,Central,Mostly Rural,77.5,,10.0,,,,8.0,2.0,2.0,,10.0,,,,,,,,,,,
1989,64,127.0,Massac,1,Southern,Mostly Rural,50.5,,10.0,,1.0,3.0,6.0,,3.0,1.0,9.0,1.0,,,,,,,,,,
1989,65,129.0,Menard,8,Central,Mostly Rural,75.7,,10.0,,,,9.0,1.0,1.0,,10.0,,,,,,,,,,,
1989,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,7.0,1.0,,,6.0,,,,7.0,,,,,,,,,,,
1989,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,23.0,,,9.0,12.0,2.0,11.0,1.0,22.0,7.0,,,,,,,,,,
1989,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,20.0,4.0,,4.0,9.0,3.0,7.0,3.0,17.0,3.0,,,,,,,,,,
1989,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,,7.0,,2.0,,5.0,,,,7.0,1.0,,,,,,,,,,
1989,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,19.0,3.0,,2.0,12.0,2.0,4.0,1.0,18.0,2.0,,,,,,,,,,
1989,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,175.0,29.0,10.0,35.0,79.0,22.0,53.0,26.0,149.0,26.0,,,,,,,,,,
