year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,1,1.0,Adams,8,Central,Mostly Urban,32.6,7745,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,12.9
1993,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1292,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,77.4,77.4,,,77.4,,,,77.4,,,,77.4,
1993,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4304,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,23.2
1993,6,11.0,Bureau,13,Central,Mostly Rural,57.4,4369,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,22.9,,22.9,,,22.9,,,,,22.9,,22.9,22.9
1993,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1998,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,50.1
1993,10,19.0,Champaign,6,Central,Mostly Urban,12.7,15655,,4.0,,4.0,,1.0,2.0,,1.0,3.0,,1.0,1.0,3.0,2.0,,25.6,,25.6,,6.4,12.8,,6.4,19.2,,6.4,6.4,19.2,12.8
1993,15,29.0,Coles,5,Central,Mostly Urban,24.3,4887,,3.0,,3.0,,1.0,1.0,1.0,,,,3.0,1.0,2.0,,,61.4,,61.4,,20.5,20.5,20.5,,,,61.4,20.5,40.9,
1993,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,564430,,60.0,4.0,56.0,10.0,17.0,23.0,3.0,7.0,41.0,12.0,7.0,,60.0,50.0,,10.6,0.7,9.9,1.8,3.0,4.1,0.5,1.2,7.3,2.1,1.2,,10.6,8.9
1993,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,92331,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,6.0,,1.1,,1.1,,,1.1,,,,,1.1,,1.1,6.5
1993,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,4540,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,22.0,,22.0,,,22.0,,,,,22.0,,22.0,
