year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,1,1.0,Adams,8,Central,Mostly Urban,32.6,,1.0,3.0,,3.0,,,3.0,,,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,
1993,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
1993,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,,6.0,,6.0,1.0,1.0,4.0,,,5.0,,1.0,,6.0,3.0,,,,,,,,,,,,,,,
1993,12,23.0,Clark,5,Southern,Mostly Rural,59.5,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,,89.0,19.0,70.0,22.0,35.0,23.0,1.0,8.0,59.0,19.0,11.0,1.0,88.0,9.0,,,,,,,,,,,,,,,
1993,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,,4.0,,4.0,1.0,,3.0,,,,,4.0,,4.0,3.0,,,,,,,,,,,,,,,
1993,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1993,37,73.0,Henry,14,Central,Mostly Rural,50.3,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,,2.0,,2.0,,,2.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,
1993,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,,2.0,,2.0,,2.0,,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
1993,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1993,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,1.0,4.0,1.0,3.0,,2.0,,1.0,1.0,2.0,1.0,1.0,,4.0,2.0,,,,,,,,,,,,,,,
1993,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1993,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,1.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1993,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,1.0,2.0,,2.0,,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1993,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,54,107.0,Logan,11,Central,Mostly Urban,39.9,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,
1993,57,113.0,McLean,11,Central,Mostly Urban,16.5,,,4.0,,4.0,,2.0,2.0,,,1.0,1.0,2.0,1.0,3.0,4.0,,,,,,,,,,,,,,,
1993,58,115.0,Macon,6,Central,Mostly Urban,15.3,,1.0,6.0,,6.0,,2.0,3.0,,,4.0,,2.0,,6.0,2.0,,,,,,,,,,,,,,,
1993,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
1993,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,,3.0,,3.0,,2.0,1.0,,,1.0,,2.0,,3.0,2.0,,,,,,,,,,,,,,,
1993,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
1993,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
1993,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,75,149.0,Pike,8,Central,Mostly Rural,72.3,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,80,159.0,Richland,2,Southern,Mostly Urban,43.5,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,2.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
1993,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,,2.0,,2.0,,,2.0,,,2.0,,,,2.0,3.0,,,,,,,,,,,,,,,
1993,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,,4.0,,4.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,4.0,1.0,,,,,,,,,,,,,,,
1993,88,175.0,Stark,10,Central,Completely Rural,100.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,,2.0,,2.0,,,2.0,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,
1993,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
1993,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
1993,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,
1993,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,,4.0,,4.0,,,1.0,2.0,1.0,2.0,,2.0,,4.0,2.0,,,,,,,,,,,,,,,
1993,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,,3.0,,3.0,,,3.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
1994,1,1.0,Adams,8,Central,Mostly Urban,32.6,,,3.0,,3.0,,,3.0,,,,,3.0,,3.0,3.0,,,,,,,,,,,,,,,
1994,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,
1994,5,9.0,Brown,8,Central,Mostly Urban,41.1,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1994,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,,4.0,,4.0,1.0,1.0,2.0,,,2.0,,2.0,1.0,3.0,4.0,,,,,,,,,,,,,,,
