year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1994,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,,4.0,1.0,3.0,,2.0,1.0,,,2.0,,2.0,2.0,2.0,5.0,,,,,,,,,,,,,,,
1994,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1994,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,,3.0,1.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,,3.0,10.0,,,,,,,,,,,,,,,
1994,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,2.0,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,,2.0,4.0,,,,,,,,,,,,,,,
1994,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,54,107.0,Logan,11,Central,Mostly Urban,39.9,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,8.0,,,,,,,,,,,,,,,
1994,57,113.0,McLean,11,Central,Mostly Urban,16.5,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,
1994,58,115.0,Macon,6,Central,Mostly Urban,15.3,,2.0,5.0,1.0,4.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,5.0,7.0,,,,,,,,,,,,,,,
1994,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
1994,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,1.0,5.0,2.0,3.0,,,3.0,2.0,,1.0,,4.0,,5.0,1.0,,,,,,,,,,,,,,,
1994,66,131.0,Mercer,14,Central,Mostly Rural,77.8,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1994,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1994,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1994,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,8.0,1.0,7.0,1.0,4.0,2.0,,,7.0,,1.0,,8.0,7.0,,,,,,,,,,,,,,,
1994,73,145.0,Perry,20,Southern,Mostly Urban,43.6,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,75,149.0,Pike,8,Central,Mostly Rural,72.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1994,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1994,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,
1994,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,1.0,8.0,2.0,6.0,1.0,5.0,1.0,1.0,,6.0,,2.0,,8.0,4.0,,,,,,,,,,,,,,,
