year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,cannabis_control_act,controlled_substance_act,drug_paraphernalia_control_act,hypodermic_syringes_and_neddles_act,methamphetamine,cannabis_control_act_rate,controlled_substance_act_rate,drug_paraphernalia_control_act_rate,hypodermic_syringes_and_neddles_act_rate,methamphetamine_rate
1975,54,107.0,Logan,11,Central,Mostly Urban,39.9,32900,9.0,7.0,,,,27.4,21.3,,,
1975,55,109.0,McDonough,9,Central,Mostly Urban,29.5,39400,53.0,14.0,,,,134.5,35.5,,,
1975,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,124900,248.0,58.0,,,,198.6,46.4,,,
1975,57,113.0,McLean,11,Central,Mostly Urban,16.5,114000,134.0,85.0,,,,117.5,74.6,,,
1975,58,115.0,Macon,6,Central,Mostly Urban,15.3,129200,175.0,43.0,,,,135.4,33.3,,,
1975,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,47300,11.0,1.0,,,,23.3,2.1,,,
1975,60,119.0,Madison,3,Southern,Mostly Urban,13.3,251300,237.0,70.0,,,,94.3,27.9,,,
1975,61,121.0,Marion,4,Southern,Mostly Urban,45.1,40800,4.0,2.0,,,,9.8,4.9,,,
1975,62,123.0,Marshall,10,Central,Completely Rural,100.0,13400,19.0,6.0,,,,141.8,44.8,,,
1975,63,125.0,Mason,8,Central,Mostly Rural,77.5,18300,11.0,2.0,,,,60.1,10.9,,,
1975,64,127.0,Massac,1,Southern,Mostly Rural,50.5,14100,40.0,9.0,,,,283.7,63.8,,,
1975,65,129.0,Menard,8,Central,Mostly Rural,75.7,10800,1.0,0.0,,,,9.3,0.0,,,
1975,66,131.0,Mercer,14,Central,Mostly Rural,77.8,18200,28.0,3.0,,,,153.8,16.5,,,
1975,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,19300,3.0,1.0,,,,15.5,5.2,,,
1975,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31300,60.0,7.0,,,,191.7,22.4,,,
1975,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37300,49.0,16.0,,,,131.4,42.9,,,
1975,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,13700,14.0,2.0,,,,102.2,14.6,,,
1975,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,44900,39.0,9.0,,,,86.9,20.0,,,
1975,72,143.0,Peoria,10,Central,Mostly Urban,14.6,200500,162.0,103.0,,,,80.8,51.4,,,
1975,73,145.0,Perry,20,Southern,Mostly Urban,43.6,20900,36.0,2.0,,,,172.2,9.6,,,
1975,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16200,6.0,4.0,,,,37.0,24.7,,,
1975,75,149.0,Pike,8,Central,Mostly Rural,72.3,19600,11.0,0.0,,,,56.1,0.0,,,
1975,76,151.0,Pope,1,Southern,Completely Rural,100.0,4300,2.0,0.0,,,,46.5,0.0,,,
1975,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,9000,2.0,0.0,,,,22.2,0.0,,,
1975,78,155.0,Putnam,10,Central,Completely Rural,100.0,5600,0.0,0.0,,,,0.0,0.0,,,
1975,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33100,18.0,6.0,,,,54.4,18.1,,,
1975,80,159.0,Richland,2,Southern,Mostly Urban,43.5,17700,21.0,6.0,,,,118.6,33.9,,,
1975,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,169100,304.0,154.0,,,,179.8,91.1,,,
1975,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,274700,382.0,64.0,,,,139.1,23.3,,,
1975,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26700,24.0,6.0,,,,89.9,22.5,,,
1975,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,173100,230.0,109.0,,,,132.9,63.0,,,
1975,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8000,,0.0,,,,,0.0,,,
1975,86,171.0,Scott,7,Central,Completely Rural,100.0,6300,7.0,0.0,,,,111.1,0.0,,,
1975,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23600,5.0,0.0,,,,21.2,0.0,,,
1975,88,175.0,Stark,10,Central,Completely Rural,100.0,7300,2.0,0.0,,,,27.4,0.0,,,
1975,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,48900,69.0,20.0,,,,141.1,40.9,,,
